Filename,Location,Sample_name,Erinaceus amurensis,Sus scrofa,Rattus norvegicus,Oryctolagus cuniculus,Canis lupus,Erinaceus europaeus,Hemiechinus auritus,Bos taurus,Homo sapiens,Nyctereutes procyonoides,Marmota himalayana,Mustela sibirica,Arctonyx collaris,Rhizomys pruinosus,Vulpes zerda,Ovis orientalis,Urocyon cinereoargenteus,Capra aegagrus,Felis margarita,Paguma larvata,Rattus tiomanicus,Otocyon megalotis,Muntiacus putaoensis,Hystrix brachyura
V300046953_L01_30_2,West market,F100,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
V300046953_L01_32_1,West market,B5,0,25,0,0,0,0,0,1205,62,0,0,0,0,0,0,1111,0,16,0,0,21,0,0,0
V300046953_L01_32_2,West market,B5,0,25,0,0,0,0,0,1153,59,0,0,0,0,0,0,1054,0,0,0,0,16,0,0,0
V300046953_L01_33_1,East market,E61,0,0,0,0,0,0,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L01_33_2,East market,E61,0,0,0,0,0,0,0,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L01_4_1,West market,A90,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L01_4_2,West market,A90,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L01_5_1,West market,A101,0,52,0,0,0,0,0,14,296,0,0,0,0,0,0,90,0,119,17,0,0,0,0,0
V300046953_L01_5_2,West market,A101,0,54,0,0,0,0,0,13,290,0,0,0,0,0,0,87,0,115,21,0,0,0,0,0
V300046953_L01_6_1,West market,A96,0,6,0,0,0,0,0,0,14,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
V300046953_L01_6_2,West market,A96,0,5,0,0,0,0,0,0,14,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
V300046953_L01_7_2,West market,A14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L01_8_1,West market,A15,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L01_8_2,West market,A15,0,0,0,0,0,0,0,9,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L02_10_1,West market,F46,0,0,0,0,0,0,0,0,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L02_10_2,West market,F46,0,0,0,0,0,0,0,0,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V300046953_L02_11_1,West market,A87,0,20,0,0,131,0,0,20,68,0,0,0,0,20,0,51,0,66,0,0,0,0,0,0
V300046953_L02_11_2,West market,A87,0,20,0,0,127,0,0,18,61,0,0,0,0,20,0,51,0,61,0,0,0,0,0,0
